Training Log1
Optimizer: Adam, Batch Size: 32, Learning Rate: 0.001
Epoch 9/10, Train Loss: 1.4480, Test Loss: 1.4216, Accuracy: 50.41%
Epoch 10/10, Train Loss: 1.4290, Test Loss: 1.4052, Accuracy: 51.36%
Epoch 1/10, Train Loss: 1.4143, Test Loss: 1.3969, Accuracy: 51.70%
Epoch 2/10, Train Loss: 1.3995, Test Loss: 1.3878, Accuracy: 51.82%
Epoch 3/10, Train Loss: 1.3803, Test Loss: 1.3787, Accuracy: 52.01%
Epoch 4/10, Train Loss: 1.3685, Test Loss: 1.3650, Accuracy: 52.84%
Epoch 5/10, Train Loss: 1.3502, Test Loss: 1.3619, Accuracy: 52.50%
Epoch 6/10, Train Loss: 1.3369, Test Loss: 1.3502, Accuracy: 53.01%
Epoch 7/10, Train Loss: 1.3271, Test Loss: 1.3465, Accuracy: 53.39%
Epoch 8/10, Train Loss: 1.3149, Test Loss: 1.3424, Accuracy: 53.05%
Epoch 9/10, Train Loss: 1.3027, Test Loss: 1.3343, Accuracy: 53.84%
Epoch 10/10, Train Loss: 1.2932, Test Loss: 1.3300, Accuracy: 53.64%
Optimizer: SGD, Batch Size: 64, Learning Rate: 0.01
Epoch 1/30, Train Loss: 1.8908, Test Loss: 1.7222, Accuracy: 40.42%
Epoch 2/30, Train Loss: 1.7024, Test Loss: 1.6171, Accuracy: 44.23%
Epoch 3/30, Train Loss: 1.6312, Test Loss: 1.5662, Accuracy: 45.82%
Epoch 4/30, Train Loss: 1.5817, Test Loss: 1.5269, Accuracy: 47.55%
Epoch 5/30, Train Loss: 1.5488, Test Loss: 1.5003, Accuracy: 48.24%
Epoch 6/30, Train Loss: 1.5180, Test Loss: 1.4739, Accuracy: 49.23%
Epoch 7/30, Train Loss: 1.4908, Test Loss: 1.4588, Accuracy: 49.11%
Epoch 8/30, Train Loss: 1.4702, Test Loss: 1.4345, Accuracy: 50.51%
Epoch 9/30, Train Loss: 1.4474, Test Loss: 1.4299, Accuracy: 50.56%
Epoch 10/30, Train Loss: 1.4287, Test Loss: 1.4071, Accuracy: 51.45%
Epoch 11/30, Train Loss: 1.4115, Test Loss: 1.3947, Accuracy: 51.74%
Epoch 12/30, Train Loss: 1.3933, Test Loss: 1.3921, Accuracy: 51.79%
Epoch 13/30, Train Loss: 1.3799, Test Loss: 1.3782, Accuracy: 52.26%
Epoch 14/30, Train Loss: 1.3647, Test Loss: 1.3667, Accuracy: 52.48%
Epoch 15/30, Train Loss: 1.3502, Test Loss: 1.3610, Accuracy: 52.41%
Epoch 16/30, Train Loss: 1.3363, Test Loss: 1.3524, Accuracy: 53.12%
Epoch 17/30, Train Loss: 1.3278, Test Loss: 1.3430, Accuracy: 52.86%
Epoch 18/30, Train Loss: 1.3162, Test Loss: 1.3385, Accuracy: 53.54%
Epoch 19/30, Train Loss: 1.3026, Test Loss: 1.3364, Accuracy: 53.36%
Epoch 20/30, Train Loss: 1.2919, Test Loss: 1.3393, Accuracy: 53.38%
Epoch 21/30, Train Loss: 1.2811, Test Loss: 1.3202, Accuracy: 54.06%
Epoch 22/30, Train Loss: 1.2726, Test Loss: 1.3246, Accuracy: 54.02%
Epoch 23/30, Train Loss: 1.2599, Test Loss: 1.3111, Accuracy: 53.95%
Epoch 24/30, Train Loss: 1.2508, Test Loss: 1.3137, Accuracy: 53.86%
Epoch 25/30, Train Loss: 1.2404, Test Loss: 1.3160, Accuracy: 53.93%
Epoch 26/30, Train Loss: 1.2324, Test Loss: 1.3062, Accuracy: 54.09%
Epoch 27/30, Train Loss: 1.2262, Test Loss: 1.2954, Accuracy: 54.37%
Epoch 28/30, Train Loss: 1.2156, Test Loss: 1.3004, Accuracy: 54.73%
Epoch 29/30, Train Loss: 1.2053, Test Loss: 1.3039, Accuracy: 54.43%
Epoch 30/30, Train Loss: 1.2037, Test Loss: 1.2932, Accuracy: 54.89%
