training_log2.txt
Optimizer: Adam, Batch Size: 64, Learning Rate: 0.001
Epoch 8/30, Train Loss: 1.4446, Test Loss: 1.3802, Accuracy: 51.80%
Epoch 9/30, Train Loss: 1.4219, Test Loss: 1.3658, Accuracy: 52.11%
Epoch 10/30, Train Loss: 1.4015, Test Loss: 1.3503, Accuracy: 52.23%
Epoch 11/30, Train Loss: 1.3843, Test Loss: 1.3401, Accuracy: 52.50%
Epoch 12/30, Train Loss: 1.3674, Test Loss: 1.3337, Accuracy: 53.27%
Epoch 13/30, Train Loss: 1.3497, Test Loss: 1.3251, Accuracy: 53.92%
Epoch 14/30, Train Loss: 1.3362, Test Loss: 1.3128, Accuracy: 53.44%
Epoch 15/30, Train Loss: 1.3198, Test Loss: 1.3102, Accuracy: 53.25%
Epoch 16/30, Train Loss: 1.3065, Test Loss: 1.2988, Accuracy: 53.88%
Epoch 17/30, Train Loss: 1.2922, Test Loss: 1.2841, Accuracy: 54.58%
Epoch 18/30, Train Loss: 1.2803, Test Loss: 1.2836, Accuracy: 54.42%
Epoch 19/30, Train Loss: 1.2677, Test Loss: 1.2775, Accuracy: 54.97%
Epoch 20/30, Train Loss: 1.2565, Test Loss: 1.2784, Accuracy: 55.00%
Epoch 21/30, Train Loss: 1.2443, Test Loss: 1.2669, Accuracy: 55.27%
Epoch 22/30, Train Loss: 1.2355, Test Loss: 1.2722, Accuracy: 55.12%
Epoch 23/30, Train Loss: 1.2195, Test Loss: 1.2593, Accuracy: 55.30%
Epoch 24/30, Train Loss: 1.2122, Test Loss: 1.2625, Accuracy: 55.96%
Epoch 25/30, Train Loss: 1.2029, Test Loss: 1.2432, Accuracy: 56.09%
Epoch 26/30, Train Loss: 1.1840, Test Loss: 1.2437, Accuracy: 56.49%
Epoch 27/30, Train Loss: 1.1846, Test Loss: 1.2440, Accuracy: 55.80%
Epoch 28/30, Train Loss: 1.1742, Test Loss: 1.2409, Accuracy: 56.09%
Epoch 29/30, Train Loss: 1.1617, Test Loss: 1.2366, Accuracy: 56.54%
Epoch 30/30, Train Loss: 1.1557, Test Loss: 1.2417, Accuracy: 56.53%
