training_logCNN.txt
Optimizer: Adam, Batch Size: 32, Learning Rate: 0.001
Epoch 8/30, Train Loss: 1.0091, Test Loss: 0.9301, Accuracy: 67.69%
Epoch 9/30, Train Loss: 0.9858, Test Loss: 0.9347, Accuracy: 67.68%
Epoch 10/30, Train Loss: 0.9567, Test Loss: 0.9083, Accuracy: 68.89%
Epoch 11/30, Train Loss: 0.9341, Test Loss: 0.8877, Accuracy: 69.30%
Epoch 12/30, Train Loss: 0.9124, Test Loss: 0.9046, Accuracy: 68.68%
Epoch 13/30, Train Loss: 0.8976, Test Loss: 0.8696, Accuracy: 70.53%
Epoch 14/30, Train Loss: 0.8789, Test Loss: 0.8888, Accuracy: 69.77%
Epoch 15/30, Train Loss: 0.8626, Test Loss: 0.8760, Accuracy: 70.31%
Epoch 16/30, Train Loss: 0.8479, Test Loss: 0.8599, Accuracy: 70.92%
Epoch 17/30, Train Loss: 0.8305, Test Loss: 0.8559, Accuracy: 71.03%
Epoch 18/30, Train Loss: 0.8150, Test Loss: 0.8520, Accuracy: 71.05%
Epoch 19/30, Train Loss: 0.8025, Test Loss: 0.8431, Accuracy: 71.43%
Epoch 20/30, Train Loss: 0.7952, Test Loss: 0.8409, Accuracy: 71.67%
Epoch 21/30, Train Loss: 0.7830, Test Loss: 0.8570, Accuracy: 71.26%
Epoch 22/30, Train Loss: 0.7715, Test Loss: 0.8432, Accuracy: 71.92%
Epoch 23/30, Train Loss: 0.7661, Test Loss: 0.8599, Accuracy: 71.41%
Epoch 24/30, Train Loss: 0.7482, Test Loss: 0.8599, Accuracy: 71.36%
Epoch 25/30, Train Loss: 0.7414, Test Loss: 0.8368, Accuracy: 72.43%
Epoch 26/30, Train Loss: 0.7338, Test Loss: 0.8539, Accuracy: 71.98%
Epoch 27/30, Train Loss: 0.7265, Test Loss: 0.8292, Accuracy: 72.22%
Epoch 28/30, Train Loss: 0.7165, Test Loss: 0.8249, Accuracy: 72.76%
Epoch 29/30, Train Loss: 0.7081, Test Loss: 0.8622, Accuracy: 72.02%
Epoch 30/30, Train Loss: 0.7015, Test Loss: 0.8513, Accuracy: 72.59%
